0Dreamstars.ModTranslation-name|Traducciones para mods
The barrier|La Barrera
Northern sealine|Línea Marítima Septentrional
//3186608452
A Non-Existent Place|Un Lugar Inexistente
No Significant Harassment|Acoso sin Importancia
No Significant Harassment (Memory Conflux)|Acoso sin Importancia (Confluencia de Recuerdos)
No Significant Harassment (The Boxroom)|Acoso sin Importancia (El Trastero)
No Significant Harassment (Multistage Amplifier)|Acoso sin Importancia (Amplificador de Múltiples Etapas)
No Significant Harassment (General Systems Bus)|Acoso sin Importancia (Bus de Sistemas Generales)
The pearl you carry may determine your ending.|La perla que llevas puede determinar tu final.
Please treat it with caution.|Trátala con precaución.
...|...
Oh... don't you want me to do this?|Oh... ¿no quieres que haga esto?
Um... I will continue.|Eh... continuaré.
No Significant Harassment's Transcription|Transcripción de Acoso sin Importancia
NSH: Good. Hope you can maintain the same level of proficiency and caution along the way.|ASI: Bien. Confío en que puedas mantener el mismo nivel de aptitud y prudencia a lo largo del camino.
NSH: Well done, but still, you need my help.|ASI: Bien hecho, pero todavía necesitas mi ayuda.
NSH: This can hardly let us satisfied, isn't it?|ASI: Esto apenas puede dejarnos satisfechos, ¿sabes?
NSH: There are not many opportunities left for us.|ASI: No nos quedan muchas oportunidades.
NSH: Be calm, your body can reach a level far beyond that.|ASI: Tranquilo, tu cuerpo puede alcanzar un nivel más allá de eso.
NSH: Learning to perfectly manipulate it is not difficult for your race.|ASI: Aprender a manipularlo perfectamente no es difícil para tu raza.
NSH: Concentrate, we just need more time.|ASI: Concéntrate, solo necesitamos más tiempo.
NSH: ......|ASI: ...
NSH: Is this any kind of acting out?|ASI: ¿Esto es alguna clase de rebeldía?
NSH: I have no intention of making us at odds. A quarter rain cycle - I hope you can recover later.|ASI: No tengo ninguna intención de enemistarnos. Un cuarto de ciclos de lluvia; espero que te puedas recuperar más adelante.
NSH: My messenger, I have no other choice in this matter. I can only hope to receive your understanding.|ASI: Mi mensajero, no tengo ninguna otra opción en este asunto. Solo espero recibir tu comprensión.
//3212425005
Spearslug|Lanzababosa
SPEARSLUG|LANZABABOSA
The Spearslug|El lanzababosa
A hybrid between organic and artificial.|Un híbrido entre lo orgánico y lo artificial.
by|de
If you wish to change the controls for making spears, or the Arti jump, go to input settings.|Si deseas cambiar los controles de creación de lanzas o el salto de Arti, ve a los ajustes de entrada.
Apex Predator|Superdepredador
Allows you to use Arti's jump/parry mechanics.|Te permite usar las mecánicas de salto/bloqueo de Arti.
Feed Using Spears|Alimentarte usando lanzas
Allows you to feed off thrown spears.|Te permite alimentarte de lanzas arrojadas.
Duel Wield|Empuñar dos lanzas
Allows you to duel-wield spears.|Te permite empuñar dos lanzas a la vez.
Enable Pups|Permitir crías
Allows pups to spawn naturally in-game.|Permite a las crías aparecer naturalmente durante la partida.
Make Spear|Crear lanza
//3213500658
BudGermination|Retoño
The BudGermination|El retoño
THE BUDGERMINATION|EL RETOÑO
You have come a long way, carrying a heavy and fatal mission.<LINE> Please ensure your own safety while helping others.<LINE> The only one who depends on you is waiting for your victorious return in the distance...|Has recorrido un largo camino, cargando una misión pesada y mortal.<LINE>Asegura tu propia seguridad mientras ayudas a otros.<LINE>El único que depende de ti está esperando tu victorioso regreso en la distancia...
Despite being well aware of the dangers of the world, and despite realizing that all efforts may be in vain,<LINE> you still choose to embark on the adventure...|Pese a estar consciente de los peligros del mundo, y darte cuenta que todos tus esfuerzos pueden ser en vano,<LINE>decides embarcarte en la aventura...
key to throw branch (Player|botón para lanzar ramas (jugador
enable slow time when using branch|activar la ralentización del tiempo al usar ramas
STATISTICS|ESTADÍSTICAS
//3213857100
Quirrel|Quirrel
The Quirrel|El Quirrel
QUIRREL|QUIRREL
A wanderer who is familiar with the art of chopping and has flexible combat skills<LINE>you will respond to some kind of call from distant corpses and embark on a journey with uncertain results...|Un trotamundos que conoce el arte de cortar y tiene habilidades de combate flexibles.<LINE>Responderás a un tipo de llamado de cadáveres lejanos y embarcar en un viaje con resultados inciertos...
The lively and flexible rover embarked on the journey again,<LINE>In order to respond to the familiar call and find the unknown answer in the heart.|El andariego vivaz y flexible se embarca en el viaje de nuevo,<LINE>con el fin de responder al conocido llamado y hallar la respuesta desconocida en el corazón.
//3215860805
Matriarch|Matriarca
The Matriarch|La matriarca
THE MATRIARCH|LA MATRIARCA
An ancient legend calls you to a familiar, faraway land<LINE>to establish a new home for your kind. With your three companions,<LINE>offspring and apprentices both, you will lead the future of your species.|Una leyenda antigua te llama a una tierra familiar y muy lejana<LINE>para establecer un nuevo hogar para los de tu especie. Con tus tres acompañantes,<LINE>una cría y dos aprendices, guiarás el futuro de tu especie.
Aquifer Tunnels|Túneles Acuíferos
Melting Depths|Profundidades Fundentes
Farflung Beach|Playa Remota
drowning in entropy|inundándose en la entropía
melting depths|profundidades fundentes
farflung beach|playa remota
The Undergrowth|El Sotobosque
Heart of the Jungle|Corazón de la Jungla
the one and only|el único e inigualable
the heart of the jungle|el corazón de la jungla
Gloomy Marshland|Ciénaga Tenebrosa
photosynthesizer paradox|paradoja fotosintetizadora
Crumpled Scaffolding|Andamios Compactados
Pipegrave|Fosa de Tuberías
Desolate Canal|Canal Desolado
pipelines of petrichor|tuberías de petricor
the sky's fallen down|el cielo está caído
watch your head|vigila tu cabeza
Rusted Basin|Cuenca Herrumbrosa
pull the plug|tira de la cadena
corpse of the moonsetter|cadáver lunar
Sunlit Alleyways|Callejones Soleados
Suburban Outpost|Puesto Fronterizo Suburbano
don't forget your sunscreen|no olvides tu protector solar
Smokestack Treetop|Copa de Chimeneas
The Stump|El Tocón
the true canopy|el verdadero dosel
deeproot depths|profundidades arraigadas
Nascent Woods|Arboleda Naciente
Fallen Spires|Agujas Caídas
plowshares and pyreflies|rejas del arado y montones de moscas
and jill came tumbling after|y jill se cayó después
Withstanding Factory|Fábrica de Apoyo
but who are they standing with?|pero ¿a quién está apoyando?
//3221585921
Bioengineering Center|Centro de Bioingeniería
Towering Ruins|Ruinas Encumbradas
Bioengineering Center (The Underground)|Centro de Bioingeniería (El Subsuelo)
Cabinet|Gabinete
POPSNAIL HEAVEN|PARAÍSO DE EXPLOSIONES DE CARACOL
MORE POPSNAIL HEAVEN|PARAÍSO DE MÁS EXPLOSIONES DE CARACOL
Welcome to the underground how was the fall if you wanna look around give us a call we don't see humans often we're happy you're just talking i'll be so popular when I show all the monsters what I just brought in|Bienvenido al subsuelo cómo le fue la caída si quiere recorrer el lugar háganos una llamada no vemos humanos todos los días estamos contentos de que simplemente estés hablando seré muy popular cuando les muestre a todos los monstruos lo que me acabo de comprar
That place you will never reach lol|Ese lugar que nunca llegarás xd
Forgotten Factories|Fábricas Olvidadas
Snowy Ruins|Ruinas Nevadas
Old Canals|Canales Antiguos
//3229249922
Citadel|Ciudadela
The Support|El Soporte
BRIGHTENED CITADEL|CIUDADELA ILUMINADA
The Leg 2|La Pata 2
//3232063592
Chasing Wind|Persiguiendo al Viento
Chasing Wind (Main Processing Cortex)|Persiguiendo al Viento (Córtex de Procesamiento Principal)
Chasing Wind (Lymphatic Conduits)|Persiguiendo al Viento (Conductos Linfáticos)
Chasing Wind (Memory Conflux)|Persiguiendo al Viento (Confluencia de Recuerdos)
Chasing Wind (Inner Wall)|Persiguiendo al Viento (Muro Interno)
The Anchor|El Áncora
Chatoyant Waterfalls|Cataratas Chatoyantes
After all this time, a lifeline. Thank you.|Una neurona salvavidas, después de todo este tiempo. Gracias.
I'll never feel the power I once had, but this is something to sustain an old soul.|Nunca tendré la capacidad que alguna vez tuve, pero con esto puedo sustentar una vieja alma.
You get these at Five Pebbles'?<LINE>Thank you <little creature>, but please, leave Five Pebbles be.|¿Las estás obteniendo de la superestructura de Cinco Guijarros?<LINE>Gracias, <little creature>, pero, por favor, deja a Cinco Guijarros en paz.
I am grateful - the relief is indescribable!|Estoy agradecida, ¡el alivio es indescriptible!
Thank you again <little creature>, but please, leave Five Pebbles be.|Gracias otra vez, <little creature>, pero, por favor, deja a Cinco Guijarros en paz.
Neither of us are well. We have both lost more than we could ever recover from.|Ninguno de nosotros se encuentra bien. Ambos hemos perdido más de lo que podríamos recuperar jamás.
It is for the best that our circumstances are not agitated.|Es para bien que nuestras circunstancias no sean perturbadas.
You get these at Five Pebbles'?<LINE>Thank you so much. I'm sure he won't mind.|¿Las estás obteniendo de la superestructura de Cinco Guijarros?<LINE>Muchas gracias. Seguro que a él no le molesta.
Or actually I'm sure he would, but he has so many of these~<LINE>it doesn't do him any difference.<LINE>For me though, it does! Thank you, little creature!|O, bueno, tal vez sí, ¡pero tiene tantas de estas!<LINE>No le va a hacer mucha diferencia. ¡Aunque para mí sí! ¡Gracias, criaturita!
It is strange... I'm remembering myself, but also... someone else.|Es extraño... Me acuerdo de mí, pero también recuerdo... a alguien más.
Met Chasing Wind|Has conocido a Persiguiendo al Viento
Brought Moon's message to Chasing Wind|Mensaje de Luna traído a Persiguiendo al Viento
Brought the slag keys to Chasing Wind|Llaves de escoria traídas a Persiguiendo al Viento
Unique pearls read by Chasing Wind : |Perlas únicas leídas por Persiguiendo al Viento: 
//3254167010
The grinder|La Trituradora
Kern|Kern
Crucible|Crisol
Power rail|Riel de Energía
room where stuff happens|sala donde pasan cosas
//3257541402
Meow|Maullar
//3262661679
Oracle|Oráculo
The Oracle|El oráculo
THE ORACLE|EL ORÁCULO
gay ppl say what|los gay dicen qué?
=)|=)
The =)|El =)
If you are seeing this, something went very wrong.|Si estás viendo esto, algo salió muy mal.
Reverberation|Reverberación
The Reverberation|La reverberación
THE REVERBERATION|LA REVERBERACIÓN
A slugpup that is sensitive to light.<LINE>The world is quite vast, but you are not alone.|Una cría de gatobabosa que es sensible a la luz.<LINE>El mundo es muy vasto, pero no estás solo.
Unbound|Suelto
The Unbound|El suelto
THE UNBOUND|EL SUELTO
An anxious entomophage that made many foes.<LINE>Jump like a Cyan in order to fight or change their opinions, the choice is yours.|Un entomófago inquieto que hizo muchos enemigos.<LINE>Salta como un lagarto cian para hacerlos cambiar de opinión, la elección es tuya.
Tower of Babel|Torre de Babel
Merlon|Merlón
The Grand Ark|El Gran Arca
Memory of a Corpse|Recuerdo de un Cadáver
Silent Heart|Corazón Silencioso
Broken Voice|Voz Rota
Arteries|Arterias
The City|La Ciudad
Putrescine Reservoir|Represa de Putrescina
Rigir Mortis|Rigir Mortis
The Quiet|La Calma
Star That Guides|Estrella que Guía
//3265383340
Gilded Sanctuary|Santuario Dorado
Tangled Steeple|Alta Enredada
//3265401327
Arid Barrens|Tierra Árida
Miros World|Mundo de Miró
Windswept Barrens|Tierra Erosionada
Frigid Desert|Desierto Gélido
The Dam|La Presa
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.|Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
The Wall 2|El Muro 2
The Nest|El Nido
The Fortress|La Fortaleza
Forsaken by the rain|Aborrecida por la lluvia
Don't look up|No mires arriba
Embraced by the rain|Acogida por la lluvia
//3288406859
Sacrifice|Sacrificio
The Sacrifice|El sacrificio
THE SACRIFICE|EL SACRIFICIO
A frail creature, sent unprepared into a harsh and unforgiving world, to an unknown fate...|Una criatura débil, enviada desprevenida a un mundo hostil y despiadado, a un destino desconocido...
Executioner|Verdugo
The Executioner|El verdugo
THE EXECUTIONER|EL VERDUGO
(WIP) A massive, powerful beast, intent on crushing and devouring the unworthy.|(WIP) Una bestia descomunal y poderosa, decidida a aplastar y devorar a los indignos.
Hermit|Ermitaño
The Hermit|El ermitaño
THE HERMIT|EL ERMITAÑO
(WIP) A snail slugcat, whose powerful snailpop and strong arms stand in contrast to its unassuming appearance.|(WIP) Un gatobabosa caracol, cuyas explosiones de caracol y fuertes brazos<LINE>contrastan con su modesta apariencia.
Firmament Basilica|Basílica del Firmamento
Sacrifice Interactions:|Interacciones del Sacrificio:
(jump) + (grab) to boostjump|(saltar) + (agarrar) para saltar más alto
Hold (grab) to chirp and stun small insects or attract attention|Mantener pulsado (agarrar) para chirriar y aturdir pequeños insectos o atraer la atención
Hold (up) + (throw) at full food pips to switch modes|Mantener pulsado (arriba) + (lanzar) con los puntos de comida llenos para cambiar de modo
Executioner Interactions:|Interacciones del Verdugo:
Swallow rocks to craft electric bomb (cost = 1 food pip)|Tragar rocas para fabricar bombas eléctricas (coste = 1 punto de comida)
Hold (grab) + (up) with the bomb to convert it to charges|Mantener pulsado (agarrar) + (arriba) con la bomba para convertirla en cargas
(jump) + (grab) to dash with charges|(saltar) + (agarrar) para hacer dash con cargas
The circles over your head display charge amount|Los círculos sobre tu cabeza muestran la cantidad de cargas
Hermit Interactions:|Interacciones del Ermitaño:
(jump) + (grab) to prepare a snailpop|(saltar) + (agarrar) para preparar una explosión de caracol
Your shell can deflect spears|Tu caparazón puede desviar lanzas
Roll infinitely, and slam into enemies from a roll for an attack|Rodar infinitamente y estrellarse contra enemigos
...|...
... M-My thoughts... flooding b-b-back... A... Neuron? Mine?|... Mi-Mis pensamientos... regresa-sa-sando... ¿Una... Neurona? ¿Mía?
... No... A creature of... s-some sort...|... No... Una criatura de... a-algún tipo...
... What are you...? That color... You're formatted to me...|... ¿Qué eres?... Ese color... Estás formateado para mí...
And yet... Your data... These memories...|Aunque... Tus datos... Estos recuerdos...
A gift...?|¿Un obsequio?...
Suns... why such a method...? It can't be...|Soles... ¿por qué tal método?... No puede ser...
... Just so... I can live a little longer...?|... ¿Solo para... poder vivir un poco más?...
I don't know what will become of us. It may be pointless.|No sé qué será de nosotros. Puede ser vano.
... I don't want to be alone... not again, lost and unthinking...|... No quiero estar sola... no de nuevo, perdida e irreflexiva.
... Thank you for... making this journey to me.|... Gracias por... hacer este viaje hacia mí.
But I don't... I don't know if it matters.|Pero no... no sé si lo vale.
You won't survive in the cold like this. Not with your current form.|No sobrevivirás en un frío así. No con tu forma actual.
I don't think there's anything that can be done... I don't have the power to help you or myself.|No creo que haya nada que se pueda hacer...<LINE>No tengo el poder para ayudarte ni para ayudarme a mí misma.
I'm sorry, my friend...|Lo siento, mi amigo...
.|.
... Nothing here...|... Nada aquí...
Nothing left...|No queda nada...
Get away...|Vete...
To safety... far from here...|A un lugar seguro... lejos de acá...
..West... Old tunnels...|... Oeste... Viejos túneles...
Maybe... gate... destroyed enough... to allow passage...|Quizá... puerta... suficiente destruida... para permitir paso...
You are... one of the more interesting creatures to enter this chamber.|Eres... una de las criaturas más interesantes que haya entrado en esta cámara...
That color... did Pebbles make you?|Ese color... ¿te hizo Guijarros?
I would have thought such a thing impossible, given the state that he's in.|Hubiera pensado tal cosa imposible, dado el estado en el que se encuentra.
I don't know how or why you've found your way to me.|No sé cómo ni por qué has encontrado tu camino hacia mí.
You're not bearing any message or data, aside from your basic functions,|No llevas ningún mensaje ni información, aparte de tus funciones básicas,
so I don't believe you were sent to me purposefully. You don't even have recording functionality like an overseer would.|Así que 
You are a small and frail creature, not built for sustained life.|Eres una criatura pequeña y débil, no hecha para una vida duradera.
You must rely on wits to survive.|Debes confiar en tu ingenio para sobrevivir.
Hold (GRAB) to chirp.|Mantén pulsado (AGARRAR) para chirriar.
Press (GRAB)+(JUMP) together to boostjump.|Pulsa (AGARRAR)+(SALTAR) juntos para saltar más alto.
You can starve to change modes.|Puedes pasar hambre para cambiar de modo.
Holding (UP)+(THROW) together while at full food pips will also change modes.|Mantener pulsado (ARRIBA)+(LANZAR) juntos con los puntos de comida llenos también cambiará de modo.
Executioner is still WIP! Story will be made soon.|¡La campaña del Verdugo aún no está completa! La historia se hará pronto.
You can swallow rocks to make electric grenades for 1 pip.|Puedes tragar rocas para hacer granadas eléctricas a cambio de 1 punto de comida.
Hold (GRAB)+(UP) to charge yourself with the grenade.|Mantén pulsado (AGARRAR)+(ARRIBA) para cargarte con la granada.
Press (GRAB)+(JUMP) together to dash, if you have charges.|Pulsa (AGARRAR)+(SALTAR) juntos para hacer un dash, si tienes cargas.
Experiment with your abilities!|¡Experimenta con tus habilidades!
Hermit is still WIP! Story will be made soon.|¡La campaña del Ermitaño aún no está completa! La historia se hará pronto.
You must crawl, swim, and climb. Your arms make up for your lack of legs.|Debes arrastrarte, nadar y trepar. Tus brazos compensan tu falta de patas.
Your shell is a handy tool. It will help protect you.|Tu caparazón es una herramienta práctica. Te ayudará a protegerte.
Press (GRAB)+(JUMP) together to snailpop.|Pulsa (AGARRAR)+(SALTAR) juntos para hacer explosiones de caracol.
More to come soon!|¡Más por venir pronto!
//3289086902
Sunlit Power Plant|Central Eléctrica Soleada
Overgrown Transfer System|Sistema de Transferencia Frondoso
//3291878239
Hardhat Cat|Gato albañil
The Hardhat Cat|El gato albañil
HARDHAT CAT|GATO ALBAÑIL
A robust slugcat that has the power to change the geometry of levels.|Un gatobabosa robusto que tiene la capacidad de cambiar la geometría de los niveles.
A slugcat that can change the geometry of levels.<LINE>This asset will help the Hardhat Cat in expeditions.|Un gatobabosa que puede cambiar la geometría de los niveles.<LINE>Esta ventaja ayudará al Gato Albañil en las expediciones.
You can regurgitate tiles when your stomach is empty and there are no swallowable objects in your hands for the cost of half a food pip.|Puedes regurgitar teselas cuando tu estómago está vacío y no hay objetos tragables en tus manos a costa de la mitad de un punto de comida.
Throw them to place them.|Lánzalas para colocarlas.
It's a strange object.<LINE>It seems large enough to hurt a creature.|Es un objeto extraño.<LINE>Parece lo suficientemente grande como para lastimar a una criatura.
It's a piece of wall.<LINE>How did you manage to take it?|Es un trozo de pared.<LINE>¿Cómo has logrado tomarlo?
//3304867363
Forsaken Station|Estación Abandonada
Deep Lake|Lago Profundo
Forsaken Station (Auxiliary Storage)|Estación Abandonada (Almacenamiento Auxiliar)
Forsaken Station (Supply Network)|Estación Abandonada (Red de Suministros)
Mountain Railways|Vías Férreas Montañosas
Forlorn Valley|Valle Desolado
Pristine Lake|Lago Inmaculado
Underwood|Matas del Bosque
Summit Edge|Borde de la Cumbre
//3305713194
Community Gallery Region 2024|Explorador (2024)
The Community Gallery Region 2024|El explorador (2024)
COMMUNITY GALLERY REGION 2024|REGIÓN DE LA GALERÍA DE LA COMUNIDAD 2024
A collection of rooms submitted as part of the 2024 Leditor Month hosted by Nautillo.<LINE>You are equipped with many tools to assist you on your gallery room safari.|Una colección de salas enviadas como parte del Mes del Leditor 2024 organizado por Nautillo.<LINE>Estás equipado de muchas herramientas para ayudarte en tu safari de salas de galería.
Community Gallery 2024|Galería de la Comunidad 2024
Bridge|Puente
Suspended|Suspendido
Crypt|Cripta
Growth|Matorral
Shrouded|Envuelto
Monolith|Monolito
Respite|Respiro
Diseased|Enfermo
//3314072844
Probationary District 4B|Distrito Experimental 4B
Warp Hub|Centro de Puertas de Karma
//3316476691
Fog Gulch|Barranco de Niebla
Hadal Depths|Profundidades Hadales
That Great Sea|Ese Gran Mar
Lunar Byway|Camino Lunar
Star Tether|Atadura Estelar
Steaming Edifice|Edificación Humeante
Cold Dredge|Draga Fría
Living Energy|Energía Viviente
//3319024564
Rock|Roca
The Rock|La roca
THE ROCK|LA ROCA
A being of pure karmic attunement.<LINE>Your journey has already ended.|Un ser de pura sintonía kármica.<LINE>Tu viaje ya ha terminado.
//3323298843
Side World|Mundo Secundario
Side World (Suburban)|Mundo Secundario (Suburbano)
Side World (Dense Urban)|Mundo Secundario (Ciudad Necia)
Side World (Shadow Urban)|Mundo Secundario (Ciudad de las Sombras)
Side World (Garbage Wastes)|Mundo Secundario (Páramos de Residuos)
Side World (Drainage System)|Mundo Secundario (Sistema de Drenado)
Side World (Shoreline)|Mundo Secundario (Costa)
Side World (Root)|Mundo Secundario (Base)
Side World (Underhang)|Mundo Secundario (Desnivel)
Side World (Wall)|Mundo Secundario (Muro)
Side World (Superstructure)|Mundo Secundario (Superestructura)
Side World (Chimney Canopy)|Mundo Secundario (Dosel de Chimeneas)
Side World (Sky Islands)|Mundo Secundario (Islas Celestiales)
Side World (Linear Farms)|Mundo Secundario (Granjas Lineales)
Side World (Subterranean)|Mundo Secundario (Subterráneo)
Side World (Temple)|Mundo Secundario (Templo)
Side World (Hell Region)|Mundo Secundario (Región Infernal)
Side World (Lost City)|Mundo Secundario (Ciudad Perdida)
Side World (Looks to the Moon)|Mundo Secundario (Miras a la Luna)
Side World (Depths of Moon)|Mundo Secundario (Profundidades de Luna)
Side World (Moon Structure)|Mundo Secundario (Estructura de Luna)
Side World (Outer Expanse)|Mundo Secundario (Expansión Exterior)
Actual Rain World|Mundo Pluvial
I'm sorry (not really).|Lo siento (no realmente).
You can unlock the rest of this message for 5.99$!|¡Puedes desbloquear el resto de este mensaje por $5,99!
House of sus.|Casa de los sus.
This is the only thing you can see clearly lol|Esto es lo único que puedes ver claramente xd
Don't look down!|¡No mires abajo!
The Cave Salamander will rise again.|La Salamandra de Cueva resurgirá.
01101010100101011101010100101110101101000110100101101101001011010110100011010010110110100101010111010100010101101101001011011001101010100101011101010100101110101|01101010100101011101010100101110101101000110100101101101001011010110100011010010110110100101010111010100010101101101001011011001101010100101011101010100101110101
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
I'm on break.|Estoy en mi descanso.
RELEASE ME!|¡LIBÉRAME!
If you're an NPC you're from video games.|Si eres un NPC eres de los videojuegos.
BAKE YOUR ROOMS BEFORE PUBLISHING THEM!|¡HORNEA TUS SALAS ANTES DE PUBLICARLAS!
Always watching Always watching Always watching Always watching Always watching Always watching Always watching Always watching |Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando 
I'm tired.|Estoy cansado, jefe.
Behind you.|Detrás de ti.
It's Toasty in here.|Aquí Está Calentito.
Two towers of DEATH!|Dos torres de la ¡MUERTE!
Side World (General system Bus)|Mundo Secundario (Bus de sistemas Generales)
Oh yeah, it's Mooning time!|Oh sí, ¡es hora de Lunear!
Skull Emoji|Emoji de Calavera
Front House|Frente del Mundo
//3324777051
Wanderer|Trotamundos
The Wanderer|El trotamundos
THE WANDERER|EL TROTAMUNDOS
Curious and calm, with an innate desire to discover ancient mysteries around.<LINE>In tune with the events of the world, your journey will have a significant impact on things much greater than yourself.|Curioso y tranquilo, con un deseo innato de descubrir misterios ancestrales.<LINE>En sintonía con los sucesos del mundo, tu viaje tendrá un impacto significativo en cosas mucho más grandes que tú.
Forest Sanctuary|Santuario Forestal
Depot Remnants|Remanentes de Depósito
Preservation Facility|Instalación de Preservación
Intake System|Sistema de Entrada
Gravity Pump|Bomba de Gravedad
Water Reservoir|Depósito de Agua
The Fragmented Exterior|El Exterior Fragmentado
The East Leg|La Pata Este
The West Leg|La Pata Oeste
The Decaying Wall|El Muro Decadente
Looks to the Moon|Miras a la Luna
Looks to the Moon (Damaged Transform Arrays)|Miras a la Luna (Sistema de Transformación Dañado)
Looks to the Moon (General System Bus)|Miras a la Luna (Bus de Sistemas Generales)
Looks to the Moon (Memory Conflux)|Miras a la Luna (Confluencia de Recuerdos)
While on the ground, tap MAP and then press JUMP to slow down time.|Mientras estás en el suelo, toca el MAPA y luego pulsa SALTAR para ralentizar el tiempo.
Then hold a DIRECTION and press JUMP to finish the boost.|Después mantén pulsada una DIRECCIÓN y pulsa SALTAR para finalizar el potenciador.
You again.|Tú otra vez.
Oh, hello!|Oh, ¡hola!
Oh, hello.|Oh, hola.
I wonder what it is that you want?|Me pregunto qué es lo que quieres.
I do enjoy the company. You're welcome to stay a while, little quiet one.|Yo disfruto de la compañía. Siéntete libre de quedarte un rato, tranquila criatura.
Don't toy around with those, please.|No juegues con ellas, por favor.
Thank you.|Gracias.
Here.|Aquí tienes.
That's all. You can leave now.|Suficiente. Puedes irte ahora.
Just GO ALREADY.|Vete YA DE UNA VEZ.
What is that?|¿Qué es eso?
Another discovery?|¿Otro descubrimiento?
I will take a look.|Echaré un vistazo.
Oh, what is that, <PlayerName>?|Oh, ¿qué es eso, <PlayerName>?
What is that, <PlayerName>?|¿Qué es eso, <PlayerName>?
Yet another thing?|¿Otra cosa más?
//3337851216
Drowned Pantheon|Panteón Inundado
Artic Chasm|Abismo Ártico
Spooderland|País de las Arañas
Bells still ringing|Campanas que siguen sonando
//3338239924
Fading Expanse|Expansión Desvanecida
Humid Fields|Campos Húmedos
//3357751340
Preservatory|Preservatorio
Forgone Cycles|Ciclos Abandonados
//3359185954
Dusty Wireworks|Alambres Polvorientos
//3364527943
Forgotten Boiler|Caldera Olvidada
South Warehouse|Depósito Sur
Centipede's Lair|Madriguera del Ciempiés
//3365922544
Pulse Jump|Salto de pulso
//3373996610
Drainage Canal|Canal de Drenaje
Aspirational Level Design|Diseño de Niveles con Aspiraciones
Fridged Valley|Valle Refrigerado
more drops of insanity|más gotas de demencia
Underpass|Paso a Desnivel
Transit Control|Control de Tránsito
Rusting Sanctuary|Santuario Decaído
Sanctuary's Peak|Punto más Alto del Santuario
underass|ano a desnivel
BLOOOOO0OOOOOOOOOOM|BRILLOOOOO0OOOOOOOOOO
prime tubes|tuberías primordiales
shipment manifest|manifiesto de carga
get dunked on|clavada de humillación
i missed the ship|me perdí el barco
//3375820548
Weakened Platform|Plataforma Debilitada
metallic plateau|meseta metálica
//3388224007
Ready: {0} / {1}|Listos: {0} / {1}
Current Mode: |Modo actual: 
Waiting for others...|Esperando a los demás...
WAIT FOR OTHERS|ESTOY LISTO
LOBBY WILL LOCK|COMENZAR
ENTER|ENTRAR
GAME IN SESSION|EN CURSO
Welcome to Arena Online!<LINE>All players must ready up to begin.|¡Bienvenido al modo arena en línea!<LINE>Todos los jugadores deben estar listos para comenzar.<LINE>Si has entrado a la sala mientras la partida está en curso,<LINE>espera a que esta termine.
Press 'Enter' to chat, press '{0}' to toggle the chat log|Pulsa «Enter» para chatear, pulsa «{0}» para ver o quitar el chat
CONFIRM|CONFIRMAR
Players|Jugadores
Refresh list|Actualizar lista
CREATE!|¡CREAR!
Mode:|Modo:
Visibility:|Visibilidad:
Player max:|Jugadores:
Credits|Créditos
Lobby Mode|Modo de la sala
Public Lobbies Only|Solo salas públicas
Max Lobby Size|Tamaño máximo de la sala
New character!|¡Nuevo personaje!
SKINS|SKINS
Tint color|Tintura
Close this menu|Cerrar este menú
TO HUB|AL CENTRO
Teleport to the closest hub|Teletransportarte al centro más cercano
TO OUTSKIRTS|A LAS AFUERAS
Teleport to outskirts|Teletransportarte a las afueras
Passage to another shelter|Usar un pasaje e ir a otro refugio
UNSTUCK|DESATASCARTE
Teleport to a nearby pipe|Teletransportarte a la tubería más cercana
LOBBY|SALA
Go back to the charater selection screen|Volver a la pantalla de selección de personaje
QUIT|ABANDONAR
Exit back to the main menu|Volver al menú principal
Display names|Mostrar nombres
Collision|Colisión
New character unlocked|Nuevo personaje desbloqueado
New emote unlocked|Nuevo emote desbloqueado
New skin unlocked|Nueva skin desbloqueada
Mod Mismatch!|¡Incompatibilidad con mods!
Mods that have to be enabled: |Mods que deben ser activados: 
Mods that have to be disabled: |Mods que deben ser desactivados: 
Mods that have to be installed: |Mods que deben ser instalados: 
MEADOW|MEADOW
READY|LISTO
PLAYERS|JUGADORES
 - New Game| - Nueva partida
Slugcats|Gatobabosas
Invite Friends|Invitar amigos
Friendly Fire|Fuego amigo
Match save|Guardado de partida
