0Dreamstars.ModTranslation-name|模组翻译

//3014893271
wrayk.lushwire-description|一个杂草丛生、潮湿的工业区，坐落于排水系统，阴影城堡和悬苑之间。
Lush Mire|葱郁泥潭
Serene Grotto|宁静石窟

//3014893557
wrayk.undersea-description|海岸线，阴影城堡和通讯塔之间的一片阴影之海，在海底有一个长期废置的区域。
Undersea|海底
The Dam|水坝
The Lighthouse|灯塔
The Undercity |地下城市
Hollowed Tunnels|中空隧道

//3014983131
wooga123.firstmod-description|一只好动的蛞蝓猫，可以放慢时间来进行致命打击。
The Explorer|探索者
THE EXPLORER|探索者
Explorer|探索者
An athletic little slugcat that can slow down time to deal deadly blows.|擅长运动的蛞蝓猫，可以减缓时间来进行致命的打击。

//3016579669
HallowedGrotto-description|强烈推荐启用倾盆大雨dlc，More Flora，Lunacy和M4rblelous Entity Pack，但都不是必须前置。一个郁郁葱葱的洞穴系统，位于地下深处，相对来说未被古人染指。<LINE>连接垃圾堆，排水系统，地下和海岸线以及……也许会有别的地方？<LINE>现在完全可以选择连接到荒芜之地，神圣花园和酸灼水道<LINE>附加功能：<LINE>一大堆世界建筑，拥有五颗珍珠，来自仰望皓月，五块卵石和追逐清风的专属对话以及超过20个广播<LINE>一个主要区域和四个小区域，几乎每个房间都会在不同的时间线中会有细微的变化。<LINE>漆黑战役的独特世界状态，战役设置在溪流和圣徒之间，以及圣徒之后的战役。<LINE>来自原版，倾盆大雨和mod社区的大量生物，有些生物支出现在某些战役中，有些需要进化系统。<LINE>一个广泛的的进化系统<LINE>怪猫线的广泛变化和热寂蛞蝓猫的兼容。<LINE>感谢bro回答了我所有的问题，SchuhBaum制作了这个mod曾经使用但是不再使用的插件，FlickerAway制作了区域艺术和Umbra用于该地区的一首未命名定制歌曲以及Joseph Nied制作歌曲"Hidden Life”。
Hallowed Caves|神圣洞穴
Hallowed Grotto|神圣石窟
Hallowed Grotto (Depths)|神圣石窟（深处）
Big Pebbles is watching|石老大哥正在看着你
Big Pebbles likes ruins too|石老大哥也喜欢废墟
Big Pebbles is not disuaded by water|石老大哥不会被水分解
Assimilation|溶洞
Primordial Assimilation|原始同化
Dark Forest|黑暗森林
Hallowed Forest|神圣森林
Moss Fields 2|苔藓原野2.0
Moss Depths|苔藓深处
Primordial Roots|原始根源
Ancient Roots|古老根源
Anchialine System|海蚀洞系
Lost Facility|迷掉设施
Research Station|研究站点
Lush Laboratory|葱郁科室
Unstable System|不稳结构
Unstable Moss|生苔险地
Cicatrix|瘢痕
Sealed Intelligence Unit|密闭智元

//3019770072
coral.caves-description|一个色彩缤纷的水上主题新区域，拥有超过200个新屏幕。
Coral Caves|珊瑚洞穴
Turbulent Pump|紊流泵
Deep Reef|深礁
Bleached Grotto|苍白石窟
Stagnant Pump|停滞泵
Submerged Superstructure (Struts)|被浸没的巨构建筑（支柱）

//3021911328
musicalmiracle.wingcat-description|翼猫的新版本适配版本，是一个2018年过时的mod。新加一个长着翅膀的蛞蝓猫！兼容DMS。
The Wingcat|翼猫
Wingcat|翼猫
WINGCAT|翼猫
Born with a pair of glorious wings, adventure calls as you fly across the world with ease,<LINE>keeping out of harm's way. Exploration will be a breeze!|生有一对美丽的翅膀，冒险召唤着你，能够轻松飞越世界，<LINE>并远离可能的伤害。探索于你将是轻而易举的事！

//3022284148
hanging.gardens-description|一个高耸的温室结构的建筑，成为了许多外来生物的居所。
Hanging Gardens|悬苑
Enduring Sanctuary|永久保护区

//3022636951
//作者的拼写错误
Aerrial Arrays|天线阵列
Aerial Arrays|天线阵列
Scavenger City|拾荒者城市
The Fallen Communication Array|陨落通信阵列
The Spire|尖塔

//3023731691
Desperado|亡命之徒

//3024646162
pocky-raisin.theestranged-name|燃烧殆尽
pocky-raisin.theestranged-description|与疏远一起进入一个充满好奇、冒险和爆炸的世界！
The Estranged|疏远
THE ESTRANGED|疏远
Estranged|疏远
Young and inexperienced, yet imbued with a combustible and volatile nature.<LINE>In spite of the situations you find yourself in, your journey will be one of curiosity and adventure.|缺乏经验的年轻者，但有着易燃易爆的天性。<LINE>无论你身处何种境地，你的旅程都将充满好奇和冒险。
Disappointed by the findings of it's previous misadventures,<LINE>the Estranged sets out to find something of value once more|对之前的不幸遭遇感到失望，<LINE>疏远开始再次寻找有价值的东西。
The Betrayed|背叛
THE BETRAYED|背叛
Betrayed|背叛
A frail mercenary, able to use their equipment and intellect to best their adversaries.<LINE>Dexterous in your movement and a master of spears, your journey will be considerably more violent and perilous than those who came before you.|一个脆弱的战士，能够利用它的装备和智慧战胜对手。<LINE>你动作敏捷且善于用矛，旅程将比之前更加激烈和危险。
A frail mercenary, proficient in using intellect to best their adversaries.<LINE>On a difficult journey to right past wrongs, you will face more perilous situations than those who have come before you.|一个脆弱的战士，能够利用它的装备和智慧战胜对手。<LINE>在纠正过去的错误之路中，你将面临更为艰难的境遇。
A vengeful craftsman and explosive enthusiast,<LINE>the Betrayed sets off into the unknown once more|作为一名复仇的工匠和爆炸爱好者，背叛将再次踏上未知之路
Steam Pillars|蒸汽支柱
Train Tunnels|火车隧道
Tube Maze|管道迷宫
Ancient Homestacks|古代民居
Pitch Darkness|漆黑之地
Vast Stretches|浩瀚延展
Aquaphobia|恐水
Hometown|家乡
Factory|工厂
Outside World|外部世界
Slug Colony|蛞蝓聚落
Wet Maze|潮湿迷宫
Cloudscraping Towers|云卷尖塔
Urban Marsh|郊区湿地

//3026723782
far_shore-description|在五块卵石和仰望皓月之下坐落着一个等待被探索的遗忘土地。遥远海岸连接朝圣天路和地下。
Lost Strand|失落河滨
Far Shore|遥远海岸
Woven Nest|盘丝洞
Caldera|火山口
Tidal Pools|潮汐岩池
Void Vents|热流喷口

//3031084852
phace.impulse-description|增加了一个可玩的蛞蝓猫：天枢。
The Impulse|天枢
THE IMPULSE|天枢
Impulse|天枢
Able to teleport short distances by expending bursts of energy; <LINE> your electricity-infused body invites you to venture to where the walls glow...|能够通过消耗能量爆发进行短距离传送。<LINE>你充满电的身体邀请你冒险去墙壁发光的地方...

//3032862920
lurzard.pitchblack-description|增加了两个新的战役灯塔和电狂，爬行于一个垂死世界的夜晚。揭开这个世界隐藏的秘密，拼凑出支离破碎的故事。
The Beacon|灯塔
THE BEACON|灯塔
Beacon|灯塔
In the wake of night, a frail but agile slugcat with a strange luminosity makes their presence known.\nLight your path and journey far; time is of the essence when under pursuit.|在夜色中醒来，一只身体虚弱但敏捷的蛞蝓以一种奇怪的光让人知道它的存在。\n照亮你的路，远行吧；在被追逐时，时间至关重要。
The Photomaniac|电狂
THE PHOTOMANIAC|电狂
Photomaniac|电狂
A maniacal juvenile lost in the night, possessing a familiar luminosity.\nIts electrical abilities, though ill-wielded, give it a tactical advantage.|一个疯狂的少年迷失在夜色中，拥有一种熟悉的光芒。\n它的电能使用时虽然有些笨拙，但在战术上有优势。
Hold the pick-up button with a spear to electrically charge it.|手持长矛时按住拾取按钮，为其充电。
Do not meddle with Random Gods.|不要干涉随机之神。
Tap jump and pick-up together while airborne to let out an electric blast. Or while grounded; hold down and pick-up.|在空中轻按跳跃和拾取键，即可发出电击。或可在地面上按住下键不放并按拾取键。
The air near it feels toxic|这附近的空气感觉有毒
It's unbearable.|真是难以忍受。
STEP FORTH|前进
MEET GOLDEN STILLNESS|遇见金色的静谧
AND DROWN|然后，沉没
You're not supposed to be here.|你不该来这里的
Hold the pick-up button to transmorgify rocks into flashbangs at the cost of food.|按住拾取按钮可将石头转化为闪光弹，但需要以消耗食物点为代价。
With the same input; you can also store flashbangs around your neck.|按下相同的按键，还可以将闪光弹挂在脖子上。
In a dark world all creatures are sensitive to bright light.|在这黑暗的世界中，所有生物都对亮光很敏感。
In a dark world creatures are susceptible to bright light.|在这黑暗的世界中，生物对亮光很敏感。
Something's off...|有些不对劲......
Deep Crypts|地穴深处
The Stargazer|占星者
Dusky Smokestack|昏暗烟囱
Alleyways|狭窄小巷
Misty Foundry|朦胧工厂
Lightless Compound|无光场地
Twilight Thicket|暮色树丛
Solemn Drillsite|庄严钻场
The Hide|荫蔽
Soaring Archipelago|翱翔群岛
Erstwhile Bastion|旧日壁垒
The Carcass|遗迹
The Carcass (Cerebellum)|遗迹（小脑）
The Carcass (Vestige)|遗迹（遗迹）
The Carcass (Guts)|遗迹（内脏）
The Carcass (Arteries)|遗迹（动脉）
The Carcass (Ventricles)|遗迹（心室）
The Carcass (Neural Stem)|遗迹（神经干）
Neglected Underbelly|遗忘腹地
Roaring Breach|咆哮罅隙
Barren Plains|贫瘠平原
Moonlit Wasteyard|月光垃圾场
Laden Stilt|满载高架
Breached Passage|破损通道
Upheld Rampart|高架堡垒
Braces|支架
The Shell|外壳
Clouded Walkway|多云小径
Disposal Unit|处理单元
GET OUT|出去!
Septics|败迹
WHAT THE FUCK|王德发？
Nescient Graveyard|神秘墓地
Apex|顶峰
Dead Spot|亡点
Scavenger Camp|拾荒者营地
Sewers|下水道
gottem|傀儡
Voided Subterranean|虚空地底
Null|空无一物
Event Horizon|事件穹界

//3033569804
Sewage_Water.thechampion-description|一个健壮的男孩。
The Champion|英杰
THE CHAMPION|英杰
Champion|英杰
Hardy beast of shell and spear, Tried to protect those you held dear.<LINE> You couldn't help them, maybe you can help someone else instead?|披坚执锐的野兽，试图保护那些你所珍视的存在。<LINE>你救不了它们，也许你还可以帮别人？
The Tower of Pains|苦痛之塔
Ruinous Facility|废墟设施
The Panopticon|圆形监狱

//3033901237
Underground City|地下城市
Lightless Sewers|昏暗水道

//3034151966
//（由于该模组已内置翻译，此处删除）

//3035584896
expandedindustrial-name|工业区扩展
expandedindustrial-description|工业区低处的一个小扩展。

//3037783004
neuronforest-description|倒塌的巨构之下隐藏着什么？
Neuron Forest|神经元森林

//3042385413
stormy_coast-description|一个在海岸线南岸的港口区域，拥有超过两百屏幕大小。
Sunlit Port|日照港湾
Shrouded Coast|雾蔽海滨
Desolate Port|荒凉港湾
Stormy Coast|风暴海岸

//3393319993
adventurer-description|这个模组不建议和其他区域模组一起启用，和其他区域模组可能不兼容！<LINE><LINE>此模组增加了两个新的蛞蝓猫，冒险家没有任何能力，但可以像饕餮一样吃东西，有背矛以及比普通的蛞蝓猫要快一点。另一个蛞蝓猫是海洋，它在水下能更好的屏住呼吸，可以猛击和爬上背景里的瀑布。<LINE>这个模组并不完整，还有更多正在路上。
The Adventurer|冒险家
THE ADVENTURER|冒险家
Adventurer|冒险家
A quick explorer looking for a new home.|一位寻找着新家的迅捷探索者。
The Marine|海洋
THE MARINE|海洋
Marine|海洋
A carnivorus swimmer. Made for combat with its sharp teeth|食肉的游泳者，用它锋利的牙齿来战斗。
Faraway Highlands|悠远高地
Faraway Highland|悠远高地
Flooded Cliffs|洪掩山崖
Floral Hollow|繁花空谷
Construction Yard|施工地
Garbage Disposal|垃圾处理场
Garbage Disposal Sector|废料处理部
Inferior Disposal Sector|次级处理部
Industrial Wastes|工业废墟
Forgone Reactor|弃置反应堆
Coolent Dump|冷却液泵
Power Rail|能源线路
Ruined Exterior|损毁外缘
Tainted Supports|污染支架
Corrupted Underbelly|腐蚀腹地
Ruined Barrier|损毁屏障
Railway|铁路
Rotten Interior|腐化内部
Glistening Rain|晶莹之雨
Glistening Rain (Life Research Sector)|晶莹之雨（生命研究部）
Glistening Rain (Rotten Power Storage)|晶莹之雨（腐化储能系统）
Glistening Rain (General Reseach Core)|晶莹之雨（通用研究核心）
Slug Home|蛞蝓之家
Vacant Facility|空置设施
Edge Of Adventure|冒险边缘

//3046659892
pu.theoutline-description|添加了外岸，一个连接着郊区和海岸线的长区域。这个区域在探索之外没什么可做的，不过可能在未来会添加内容。这个区域仍然未完成。
The Outline|外岸
The Overcast|荫蔽
The Incinerator|焚化炉

//3046862358
The Dreamer|梦者
THE DREAMER|梦者
Dreamer|梦者
Visions of eons past mesmerised you in your anxious dreams, your lifelong goal <LINE> has been to harness its long-eroded knowledge simply to survive the desert.|在你的焦灼的梦中，亿万年前的景象迷住了你，你的毕生目标<LINE>就是驾驭这份久经岁月磨损的知识在沙漠中生存。
Visions of eons past mesmerised you in your anxious dreams, your lifelong goal <LINE> has been to harness its long-eroded knowledge simply to survive the changing lands.|在你的焦灼的梦中，亿万年前的景象迷住了你，你的毕生目标<LINE>就是驾驭这份久经岁月磨损的知识，在这方变迁的土地上生存下来。
Adorned in decoration of the past, you aim to understand this world.|被遗弃在过去的景象里，你试图理解这个世界。
Clawing your way out of the sea, you're deadset on your goals to survive.|挣扎着走出荒漠，你对自己的生存一筹莫展。
uhhh dotn play this ok???|额能先别玩吗？？？
UHHH DOTN PLAY THIS OK???|额能先别玩吗？？？
(PLACEHOLDER) The greyest of buildings house a creature-priest. <LINE> Dedicated to your craft, you respectfully hunt and preserve your prey. (PLACEHOLDER)|（占位符）灰色建筑里住着一位牧师<LINE>专注于你的工艺，你充满敬意地狩猎和保存你的猎物。（占位符）
The Viper|毒蛇
THE VIPER|毒蛇
Viper|毒蛇
The changing lands have stirred a venomous, deadly assassin. Reeling from a<LINE>devastating injury, you must use your fangs to battle your ravenous hunger and survive.|变迁的土地唤醒了一个恶毒而致命的杀手。在<LINE>致命的境地中求生，你必须用你的獠牙来对抗你饥饿并生存下来。
An experienced assassin with a devastating injury,<LINE>you hit to stun and use your venom to finish the job.|经验丰富的刺客，身受重伤，<LINE>你能一击昏迷，然后用毒液完成你的任务。
I wouldn't recommend using this slugcat in expedition, as it's untested. You do you tho.|我不建议在探险中使用这种蛞蝓猫，因为它未经测试。
The Siren|塞壬
THE SIREN|塞壬
Siren|塞壬
The colder waters have stirred an ancient predator. <LINE> You fumble with spears, but show prowess with the tides.|寒冷的海水唤醒了一种古老的食肉动物。<LINE>你不善于使用矛，但在潮汐中表现出高超的技艺。
The Trailblazer|开拓者
THE TRAILBLAZER|开拓者
Trailblazer|开拓者
A master of combat raised by scavengers in the coldest of wastes, you <LINE> drift along the realm of passed gods, searching for the secrets that lie far beyond your small home.|由拾荒者在凛原中培养的战斗大师，你<LINE>在逝去的众神的王国中漂流，寻找远在你小家之外的秘密。
A master of combat raised by scavengers in the dying lands, you <LINE> drift along the realm of passed gods, searching for the secrets that lie far beyond your small home.|由拾荒者在奄奄一息的土地上培养的战斗大师，你<LINE>在逝去的众神的王国中漂流，寻找远在你小家之外的秘密。
Your kin have assigned you another goal, and so <LINE> you embark on your journey once again.|你的君主给你分配了另一个目标，<LINE>所以你再次踏上了你的旅程。
The Oracle|神谕
Oracle|神谕
THE ORACLE|神谕
Found. Portable. Applicable.<LINE>This world will wake right back up again.<LINE>So wake up, little metal god.|已找到，可移植的，普适的。<LINE>这个世界将会苏醒并重回正轨。<LINE>所以醒来吧，小小的金属神明。
You awaken for the first time. Your goal is one of curiosity. Learn the history of this world, and use that knowledge for survival.|这是你的首次苏醒。你的目标完全出于好奇。了解这个世界的过往，并以这份知识生存下去。
While your karma is at its lowest, your violent instincts take hold. In this state, you crawl as fast as you walk.|当业力处于最低等级时，你的暴力本能便会占据上风。在这种状态下，爬行和行走速度相当。
Press GRAB and JUMP at the same time while standing to kick yourself into the air.|在站立状态下，同时按下“抓取”和“跳跃”可以将自己推向空中。
When your karmic potential is at its lowest, your desperate attacks get strengthened.|当业力处于最低等级时，你的拼命攻击将得到增强。
...took... everything...|...带走了...一切...
...hurt both... of us...|...伤害了...我们...
...Trusted... terrible rodent... go... don't come back...|...我那么信任...可怕的老鼠...离开...别再回来...
...Why... take all I... have...|...为什么...带走了我...所有的一切...
...Trusted...|...我那么信任...
...Give it... back...!|...还给...我...!
...I know... know you c can...|...我知道...你...你可以...
...Bring it back... round... round bring... back...|...还给我...圆形的...圆形的东西...
...You... glow.|...你...在发光...
...I don't...|...我没有...
...I don't have much left of... what you ate...|...我没有多少...你吃的那些东西了...
...You hurt her...|...你伤害了她...
...You hurt her... bad... hurt v very very bad...|...你伤害了她...重重地...非常非常严重...
...You hurt her... you...|...你伤害了她...你...
...You kill her... |...你杀了她...
...Don't talk to me... ever, ever...|...别和我说话...永远，永远...
...Go away...|...走开...
...Not forgotten pain...|...难以忘记的痛苦...
...So little... left. Why hurt... me more...|...只剩下...这么少。为什么...还要伤害我...
...hate...|...伤害...
...Leave me... alone.|...让我...独自一人吧。
...Hello... again... long time... since visit...|...你好...再次...很久...自上次访问...
...Or different...?|...或者不同...？
...Little... sharp, sharp... green thing... with ribbon...?|...渺小的...锋利，锋利...绿色的家伙...戴着飘带...？
...Nothing left... still...|...没有什么...留下...仍旧...
...You are... third to visit... in cold...|...你是...第三个客人...在严寒中...
...Three...? Triple.. affirm... mh...|...第三个...?第三个...属实...唉...
...Hah.|...哈哈。
...I don't... know what that... means... anymore|...我不知道...那代表着...什么
...I feel... feel better already... a little bit...|...我感觉...感觉好了...一点...
...You are new...?|...你是新来的?...
...Nothing... left... nothing here...|...没有什么...留下...什么都没有...
...You are... second to visit... in a while...|...你是...这段时间...第二个访问...
...You are... warm in familiar way...|...你...以一种...熟悉的方式...温暖
Like sea... at the bottom of world... at... sea...|如同瀚海...之底...
So warm... stay close...?|如此温暖...可以靠近点吗？
...are you cold?|...你冷吗?
I...|我...
...can't help. you...|...我帮不了你...
...I can't help myself...|我甚至帮不了我自己...
...You... are new...?|...你...是新来的?...
...Nothing... left... nothing here...|...什么都没有...留下...什么都没有...
...You are... a strange thing...|...你...很奇怪...
...your arm...|...你的胳膊...
...are you cold?|...你冷吗?
You don't look... from here... I...|你似乎...不属于这里...我...
...can't help... you... I can't help myself..|...帮不了...你...我甚至帮不了我自己...
Sorry, little... carnivore... I think you have... better things to do...|抱歉，小...野兽...我认为你...有更好的事情去做...
Overgrown Furnace|繁茂熔炉
Cold Depths|严寒深处
Decayed Grasslands|腐朽草地
Iron Glacier|钢铁冰川
Dried Pipes|干燥管道
Sunken Deity|浸没神祗
Erratic Pulse|不稳脉冲
Topmost Duststorms|沙暴至巅
Topmost Duststorms (Torched Cerebrum)|沙暴至巅（焚毁之脑）
Topmost Duststorms (Sandchoked Internals)|沙暴至巅（沙丘内部）
Topmost Duststorms (The Gash)|沙暴至巅（裂谷）
Drifted Oasis|漂流绿洲
Endless Desert|无尽沙漠
Clockwork Tower|时序塔
Bloodied Monument|鲜血纪念碑
Brittle Husk|霜凛躯壳
Humming Construct|蜂鸣结构
Polluted Pools|污染水池
Geothermal Swamp|地热沼泽
Mourner's Tower|哀悼之塔
Overgrown Boneyard|繁茂骨茔
Frostbitten Basin|冻伤盆地
Chilled Deadland|寒霜死地
Wastewater Towers|废水塔
Frozen Dump|冰冻垃圾场
Rewilded Urban|野化郊外
Coastal Citadel|海岸城堡
Rewilded Cranny|野化罅隙
Ashworks|残余灰烬
Sprawling Waterworks|宏伟水厂
Slag Mill|矿渣磨机
Rift|罅隙
Drowned Slums|浸没贫窟
Internal Crucible|内附坩埚
Luna|皓月
Vents|管道
Sewers|水道
Cutscene|景致
Bleached Crypts|褪色地穴

//3047080571
slime-cubed.sandeater-description|嗨！
The Sand Eater|食沙者
SAND EATER|食沙者
Sand Eater|食沙者
Hey.|你好。

//3051215766
limecultivist.testingsimulation-description|添加了一个名叫测试模拟器的区域来测试移动技术。<LINE><LINE>这个区域旨在游玩求生者，僧侣和猎手。
Testing Simulation|测试模拟器

//3055117086
The Shrieker|尖啸
THE SHRIEKER|尖啸
Shrieker|尖啸
A slugcat that uses its sonic abilities to survive.|一个利用声波能力生存的蛞蝓猫。

//3058851317
overgrownfacility-description|酸灼迷宫是一个连接着管道堆场和垃圾堆的小迷宫。
Sizzling Sewers|酸灼水道
Caustic Caverns|灼热迷宫

//3062937590
Kiki The Slugcat|奇奇
The Kiki The Slugcat|奇奇
KIKI THE SLUGCAT|奇奇
Meet Kiki, a Vibrant Slugcat with a Stunning fur Coat of Flame-Like Orange, And brilliant white eyes.|认识奇奇，一个充满活力的蛞蝓猫，有着令人惊叹的橙色火焰皮毛和明亮的白色眼眸。

//3064602186
moon.spookcat-description|一个僵尸化的蛞蝓猫，把世界变成了一个黑暗且让人难以忘怀的噩梦。<LINE>你的饱食度会变成血条。
The Spookcat|幽灵
THE SPOOKCAT|幽灵
Spookcat|幽灵

//3068084165
jam.moonlitacres-description|月光田地是一个是一个连接阴影城堡和农场阵列的黑暗喜庆区域，以一种新蜥蜴为特色。
Sunlit Sanctuary|日光圣所
Moonlit Acres|月光田地

//3068986717
andrew.theflamboyant-description|一只火红的蛞蝓猫，在白雪皑皑的荒原上竭力生存。
The Flamboyant|焰火
THE FLAMBOYANT|焰火
Flamboyant|焰火
A firey slugcat, far away from home in the snowy wastelands...|一只生于烈火的蛞蝓猫，在白雪皑皑的荒原上...

//3073908797
//备注-模组已下架，无法翻译简介
Ventalation Ducts|通风管道

//3075403759
//备注-模组已下架，无法翻译简介
The Entropy|热寂
THE ENTROPY|热寂
Entropy|热寂
A slugpup who has escaped from confinement and wishes for peace.<LINE>While agile, it may prove difficult to find consistent food in a changing world.|一个从禁闭中逃脱并希望和平的幼崽。<LINE>虽然敏捷，但在一个不断变化的世界里，很难找到始终如一的食物。
Flower's Paradise|花堂
Pouring Towers|倾盆尖塔
Fridged Signal|霜冻标记
Home|家
Awful Place|可憎之地
I don't want to be here|我不想呆在此处

//3075897716
//备注-模组已下架，无法翻译简介
Deafening Silence|默神
DEAFENING SILENCE|默神
The Deafening Silence|默神
That guy.|那个家伙。
Slugkarl|卡尔
SLUGKARL|卡尔
The Slugkarl|卡尔
Kills everything, but mostly aliens (aka everything).|杀死一切，但大多数是外星人。
Bottleslug|瓶子
The Bottleslug|瓶子
BOTTLESLUG|瓶子
Peaceful yet timid, causing extreme agility.|平和但胆小，导致极度敏捷。

//3075938424
andrewrooms-description|一堆我只是为了好玩做的房间，目前只能通过warp模组进入，你可以随便看看。
Andrews Rooms|安德鲁房间群
Storm Local Group|风暴本地群组
FEAR Local Group|恐惧本地群组

//3076010628
turt.curiousascent-description|一条经过工业建筑的破旧山路。
Curious Ascent|好奇之升

//3077237509
darkgran.karmaappetite-description|来认识探路者吧！这是一只机智的蛞蝓猫，有着基于业力的能力，能够制作工具，甚至能够传送，长按Q以创造，长按E和方向键来传送。
The Pathfinder|探路者
THE PATHFINDER|探路者
Pathfinder|探路者
A witty slugcat with a karma-based metabolism. Able to craft tools, and even make shortcuts of its own.<LINE>(Hold Q to craft. Hold E + direction to tunnel.)|一个机智的蛞蝓猫，有着基于业力的能力。能够制作工具，甚至可以传送。<LINE>（长按Q以创造，长按E和方向键以传送。）

//3077239556
darkgran.solemnquarry-description|欢迎来到庄严采石场，一个为业力食欲创造的小区域。<LINE>要与KA_IteratorKit一起使用（否则就会没有迭代器）。
Solemn Quarry|庄严采石场
Two Colors of Smoke|双色烟雾

//3081464445
tcan.SacredGarden-description|一个连接着郊区和阴影城堡的废弃农场。
I don't even know the gimmick for this region|我甚至不知道这个区域的特色
Sacred Garden|神圣花园
Chilled Hydroponics|冰冻水培室

//3083682990
badlands-description|一片到处都是古代遗迹的荒凉土地。
Archaic Tundra|古老苔原
Badlands|恶地

//3022693438
OlderHunter-description|将猎手放到了时间轴中较早的位置，如果你认为猎手因为倾盆大雨而掉了档次了（像我一样）的话非常推荐！
Acerbic Station|酸液垃圾场
Deep Maw|深入腹地
Sunken Vents|浸没管道
Facility Roots - Western Intake|设施根源 - 西侧入口
Journey's End.|旅途终末
Silent Construct (The Husk)|无声构造（躯壳）
Silent Construct (Dimmed Grotto)|无声构造（昏暗洞穴）
Silent Construct (Five Pebbles)|无声构造（五卵石）
Silent Construct (The Leg)|无声构造（支架）

//3088328875
verde.levelfixes-description|修复了房间设置方面的大多数错误，让僧侣战役中的难度曲线更加平滑，并且对一些配乐进行了更改。
Sump Canal|集液导管
Drizzled Shoreline|雨濛海岸
Blue Precipice|蓝色峭壁
Industrial Marshland|工业垃圾堆
Fog Arrays|迷雾阵列
Scarlet Islands|猩红群岛
Chimney Overcast|云蔽烟囱
Infected Underhang|腐化悬架
Blue Wall|蓝色高墙
Vents|管道
Flood Pipeyard|漫洪管道
Blanching Wastes|炽热废墟
Ailment Crypts|不安陵墓
Silent Construct (The Leg)|无声构造（下悬架）
Silent Construct (Five Pebbles)|无声构造（五卵石）
Silent Construct (The Husk)|无声构造（躯壳）
Silent Construct (Dimmed Grotto)|无声构造（幽暗石窟）
Rainy Outskirts|阴雨郊区
Sullied Exterior|污染外缘

//3089929720
don.desertedwastelands-description|遗弃荒地是一片通往遥远东方的神秘荒漠，连接着五块卵石顶部和仰望皓月。这是雨世界最大的区域模组之一，拥有超过540屏的新增内容。
Deserted Wastelands|遗弃荒地
Hydration System|水合系统
Hydration System (Collapsed Main Control Environment)|水合系统（损毁主控环境）
The Edge|边境
The Backwall|后墙

//3091642153
saltedsour.desiccation2-description|你想要更多的玩法拓展吗？更多的受苦？更多的蛞蝓猫？！？！那么这就是为你而做的DLC！<LINE><LINE><LINE>暴怒和牧师的特色就在于它们什么都不知道！
The Priest|牧师
THE PRIEST|牧师
The Volatile|暴怒
THE VOLATILE|暴怒
Goes well with IteratorWalk ;)<LINE>Q is permanently bound to its ability, soz! Will fix one day|兼容迭代器散步。Q以释放技能，将会实装。
drencher|暴雪不尽...
//3102085094
The Varmint|淘气包
THE VARMINT|淘气包
An annoying little creature who likes stealing pearls.|一个喜欢偷珍珠的烦人小家伙。

//3102368089
//备注—已下架，暂无法翻译简介
Breathes underwater, and requires a steady diet of meat to sustain itself.<LINE>Your electrical and vocal capabilities, though hazardous, will be necessary for your continued survival.|在水下呼吸，需要稳定的肉食来维持身体运行。<LINE>拥有致命的放电和发声能力，这是你生存所必需的。
An aquatic hunter and electrical expert,<LINE>The Siren sets off into the unknown to test their mettle|一个水中猎手，电击大师，<LINE>塞壬潜入未知，以探寻他的毅力。

//3103123670
SideHouse-description|这是侧堂区域的1:1复制品，是第一个被发布的模组区域，主要由未使用的房间组成。这个版本与1.5版本的不同之处在于这个版本有烤制过房间，修复了一些损坏的生物刷新，并且删除了软锁，现在支持探险模式。如果你游玩溪流/圣徒，那么你无法使用五块卵石区域的业力门，但你可以使用倾盆大雨的蛞蝓猫。<LINE>新增一个链接海岸线，五块卵石和深处的全新区域。<LINE>合并了许多游戏中未使用的房间，包括一些自定义竞技场模式的可解锁地图。<LINE>这个模组为雨世界添加了一个全新区域，称为侧堂，连接海岸线，五块卵石和深处。<LINE?它也可以作为一个不那么繁琐的替代路径来给月姐递送神经元。该区域是游戏中许多最终没有在游戏中使用的地图文件的合集。<LINE>此区域还包括两个彩色珍珠，可以作为礼物送给仰望皓月。这些珍珠都是在这个区域中都有着独一无二的内容。紫色珍珠是平均难度，像绝大多数彩色珍珠一样。青色珍珠是为了追求挑战的玩家而准备的。<LINE>这个模组还附带了两个可以在竞技场/沙盒模式解锁的新地图。<LINE>这个模组由AndrewFM创建，由Mikronaut创作威胁音乐。
Side House|侧堂

//3107395198
//备注-已下架，暂无法翻译简介
The Hidden|隐匿者
THE HIDDEN|隐匿者
Hidden|隐匿者
a slugpup that feeds on the corpeses of the lizards it kills.<LINE>FUCK YOU NO MERCY! NOONE CAN SAVE ME! NOT EVEN ARTIFICER OR RIVULET!!|一个吃蜥蜴为生的幼崽。

//3110029849
GBS.Clandestine-description|一个包含了叫做隐秘的新蛞蝓猫的模组；它是一个依靠潜行和智慧，而不是用蛮力解决问题的蛞蝓猫。依靠宽大的肉垫，它几乎可以躲避任何野兽。
The Clandestine|隐秘
THE CLANDESTINE|隐秘
Clandestine|隐秘
Stay quiet|嘘

//3111174322
//备注-已下架，暂无法翻译简介
The thing|事物
thing|事物
Thing|事物
THE THING|事物
A quiet predator. sneak 100, litterally|一个安静的捕食者。

//3111329162
zeldak974.silkslug-description|向一款游戏致敬，一款让玩家永远幸运的游戏。
